	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
GTEX-117YX	-3.8741574	2.501617	6.2807956	-0.40020645	-4.879904	4.0023026	3.2983866	-4.632853	3.0708976	0.28776446	-3.5972917	-8.387199	8.071235	8.348156	3.0547779	3.7312562	-0.8416038	-2.8740287	3.3489416	-2.3041565	-2.6699758	11.84658	0.92712736	5.846242	2.0286164	-6.0413036	-5.639105	-2.108071	3.346629	-1.729044	-4.284375	0.0019216593	0.12113043	5.559992	-11.341607	-0.41613394	4.38905	-8.951387	-4.6490793	11.042552	-5.162302	-0.57947993	7.551485	6.27872	6.1471753	-4.330498	0.9639525	1.8702954	-7.350277	0.39711833	-1.3923943	-1.2834989	-0.33821166	-5.928669	2.4027395	0.8515825	0.23179945	0.7180268	0.6283963	3.4539382
GTEX-1192X	-4.3971305	-3.5669541	-0.8181804	2.401388	-3.7992857	4.153442	-1.0174613	7.278518	0.6006264	4.581726	4.0186214	-4.9284134	10.705483	5.493993	2.7090364	1.3099442	-4.2285137	-3.065352	4.9538608	-0.21390042	-1.6436718	2.6668406	-1.0308845	-2.4923303	-2.9199493	1.2917935	7.397216	0.06834222	3.0739136	0.65994567	-0.31561884	2.7357078	-5.894836	-1.4871418	-1.3745172	2.2645092	-7.5297647	-10.183078	0.8652875	2.4512234	-3.7978144	6.1380215	0.91827327	12.784841	4.260747	-0.5211311	0.23080128	5.442315	0.88219947	-0.9565662	-2.9278052	2.7583606	6.4122353	3.6139324	-1.2795737	2.7267494	-2.762454	-0.1675223	-1.9745588	2.7307615
GTEX-11DXX	-0.08989546	-4.4480767	7.075543	-3.3803382	-3.237835	1.2014819	-0.7965389	-5.589802	-0.16722631	-5.8115325	8.851333	-1.7393712	3.2305386	9.495628	8.073687	8.870316	4.6210093	-2.9264705	-2.758086	6.6519394	2.9974208	2.181171	0.22789058	-1.0962803	-3.1264381	0.71601486	-2.2269397	-4.5529056	0.3635456	2.3010063	0.3278554	2.1661959	7.720072	3.313085	4.45863	-0.16017823	4.0738816	-5.569514	3.1571114	5.6259756	2.0135603	-6.6222863	-0.57641447	7.397595	3.1061938	1.2204592	0.5228434	5.74652	-5.6478586	2.5977552	9.48504	-8.487232	0.47766182	-3.474538	4.2317724	-4.085477	4.4788356	6.635699	6.237432	5.059322
GTEX-11DXZ	-6.6963153	1.0936612	2.6662664	0.8727191	-0.32699102	-1.7391812	3.1171591	7.6779923	-0.16696636	-0.8893277	-1.7014062	-5.650712	-0.0037564503	0.64036816	-4.218046	1.7469926	-4.807135	0.68410695	-2.7349112	-2.9690585	3.799692	3.2774212	1.641946	3.1767135	-1.8667319	-5.839768	-1.2369308	2.5480132	-2.2665744	1.8719213	-2.457103	0.42966044	2.0163672	4.572822	-2.3605273	2.8343227	-13.666646	-1.451206	2.543304	-10.290892	-1.4212139	2.2996707	6.0859137	-3.2223246	12.787323	-2.7410583	5.1245613	-5.01716	8.794406	2.1661053	-0.13129884	2.2364647	-0.62389773	8.719863	3.078331	9.387958	-1.5671141	-0.9621729	-4.645353	7.2327704
GTEX-11DZ1	4.016836	3.674046	-5.564907	-0.43481165	-3.176122	2.6233513	12.852988	-5.086542	3.307257	-1.0886744	1.9668	1.692643	10.08206	11.301156	-0.6005484	-0.35945216	6.375072	-3.1118994	2.8185122	6.94296	2.1396024	11.467986	-2.9493968	0.9291774	-4.58856	-6.020761	4.811107	-0.2582015	-7.5194335	-1.5574713	-3.6027577	10.838087	7.1951513	7.749333	4.685643	-2.680874	-4.9374747	-7.065353	-3.5558388	6.292737	-5.080276	-3.0955093	-3.3074346	9.001449	-1.4614863	0.558353	-3.561852	12.438443	-1.0882087	-1.6130236	2.7746787	0.37536892	-5.7931824	-3.7426693	10.911491	-4.5706406	-0.89118385	1.6033949	-1.7814279	4.7714076
GTEX-11EI6	1.381608	2.3676722	-7.004012	3.3230333	1.0048081	-2.5255702	4.401801	-1.8609973	5.4688663	1.7975523	-3.9140465	-8.042858	5.190162	1.9540033	-1.9893408	-0.561578	-6.797412	4.263388	-0.997186	-1.027946	-6.7833	4.3862305	0.75169	-1.8103385	6.1253653	-3.7941225	2.9062781	-2.2879648	-5.9716616	-6.950693	-2.7297275	-3.3288193	-1.7799858	-11.264733	4.4778543	-3.6460776	0.50327384	0.45804045	7.096736	1.945214	-5.725451	-4.9704366	-3.9777524	1.3913403	0.5909404	-4.360318	-0.4250024	1.4690195	3.6118436	2.3902278	3.836129	-3.4356945	-11.114916	2.6252503	3.4479773	-1.8988312	-1.9061658	1.4996662	-6.3718977	6.5970826
GTEX-11EM3	-3.1258454	-3.8400295	3.842342	4.701567	3.7919464	4.7722864	2.368937	4.924489	-0.44382206	-3.4447942	2.2802331	0.734203	0.61303455	-2.7032945	8.044539	1.7796122	2.188499	-4.3961067	8.109752	7.1178384	0.38574207	7.105768	-4.8568172	1.2712505	-3.329494	3.846366	0.35929808	-2.1430726	10.87156	-5.963903	2.336084	1.3867326	-10.2001705	8.680999	-0.7649017	0.08180804	4.6849017	-4.4081507	-1.90553	2.785801	-1.3654531	-5.2963185	1.0226514	2.7811193	-3.4539435	5.469552	-10.469706	1.7443486	-3.676448	-3.1206672	6.104841	-5.265957	3.9425962	-9.018928	2.1480143	3.1927145	-0.8162784	2.9200783	2.0224717	-6.7694936
GTEX-11EMC	1.6048325	-3.0578353	-1.8339962	-2.9464312	3.8186736	2.2700627	8.369221	4.839836	-4.445997	-2.3963933	-2.6363618	-0.47868416	-1.1774623	1.7937163	4.685732	-2.3564324	3.1200006	1.6665494	-1.0243018	-0.38094854	3.0212917	4.74867	4.3484783	1.6575174	3.4979217	-0.5716327	3.2156866	6.8779373	2.665229	-0.5813931	-4.0163774	-2.6971393	-5.465324	-1.5974312	-3.0729756	-3.0206764	-0.07738656	2.7660527	-5.1271043	5.960997	-3.7723174	-6.597989	-2.4563742	6.164961	-3.1600902	-2.4782186	2.2203329	-0.89332426	4.5757365	-1.6563109	-3.1924272	-0.67215717	0.33278877	1.698933	-10.182245	-0.77654344	-1.1396983	1.0547401	0.15058294	-3.9115686
GTEX-11EQ8	-3.5802	-8.256798	-2.2156014	2.11595	-3.3815892	-0.31114095	2.2038395	-3.468278	1.125511	-4.0179853	-1.5440947	-13.2704315	6.363059	4.798982	5.3222237	10.047639	6.968367	-3.31302	-0.6512198	5.469805	-3.766712	-2.089308	5.9717793	-1.9125255	-4.449242	-19.115398	1.9799484	-9.065251	-10.101275	2.927364	-6.778091	10.019267	7.0716963	1.1886907	12.107055	-1.9491733	-7.8706045	-13.110383	4.429203	3.190046	-1.191592	7.3647795	-8.035405	13.275455	2.3270032	-7.40635	9.80869	9.62037	-1.9757124	-6.831425	10.683256	-8.019373	-9.276829	6.8439245	16.979904	-3.5310438	0.2992367	-4.8203917	-2.4012096	12.313999
GTEX-11EQ9	6.8689623	1.6520001	8.134818	-2.348286	-5.0689187	3.9397864	-1.3727127	-6.597752	2.9629197	-0.0200251	2.4315245	-4.4155326	2.8591475	7.5553637	3.746227	10.514208	-0.3439832	-1.2057582	-5.3445625	-1.0153264	-2.185744	5.703697	0.97402924	9.256795	-3.4904776	1.1542203	-3.571225	-4.3503246	4.155943	-4.5726237	2.5054502	-4.1627355	0.8614294	-1.6495777	2.9435258	-1.6271341	1.7770796	-5.75693	-1.8839474	4.5838985	3.6176124	-3.9113612	3.7087476	8.056418	7.366693	4.969889	-1.1755126	4.2851577	-5.445816	5.6412687	-2.6721692	-2.1269267	3.3663943	-2.983682	-4.3274093	2.6061072	-1.0937229	1.265115	-1.6343551	2.8895152
GTEX-11GS4	0.632364	-2.4642377	1.501889	4.386617	5.695239	1.2476403	4.571969	4.623647	-0.9338212	-1.2605243	-3.7797701	1.599151	-12.055949	-16.272657	-8.190893	2.424044	-3.209748	-4.994189	0.35093656	-6.1813593	0.4664956	-11.169344	8.804988	-1.9529209	4.8994317	6.200585	2.6070018	1.2815802	-1.7064582	0.9200683	-0.14489074	-1.257251	3.3449478	-1.6337215	-1.5239495	2.855025	0.616554	4.340604	2.1630073	-9.987331	0.036385633	3.3106823	-1.0688428	-3.772673	-1.7845348	-5.0340977	4.526939	-4.5114837	11.068744	4.8347898	1.9296312	-1.3066484	-4.6493325	-1.8250508	-0.72907746	-1.7068954	-3.0696585	-2.9756188	9.551855	-4.8491473
GTEX-11GSO	-0.9720753	0.90528625	6.6277456	8.797264	-3.0928578	-0.5177166	-2.6428587	6.7329717	-3.6468656	-0.4626995	-2.8688014	-1.7761134	-3.715777	3.6983626	2.0285954	3.3021822	-1.1007818	0.7785604	-4.6291127	2.916601	1.9441763	-2.6536367	7.06311	6.5897355	-3.4698596	-1.1655521	8.159929	4.5188775	-6.431107	0.9828275	3.7422643	-12.942459	-0.31347197	-5.6954293	-1.0397745	-2.0431886	-4.7867017	0.49492744	-0.03281284	2.9555907	-1.6604246	0.70636064	3.8349376	-0.5271044	1.861012	-7.739206	7.117492	-1.383812	2.6704876	2.5769613	-9.154725	4.3322697	-2.2387466	-2.4571996	-7.5635753	-0.8665216	-3.124699	4.4318366	-2.5411205	-0.45249677
GTEX-11GSP	0.49532473	-5.0866623	-1.4894638	6.6975327	5.284653	-1.8128378	6.681819	10.1827	-7.4561768	-5.502657	-4.8795023	5.852256	-11.5152235	-8.278917	-4.250815	0.78046745	-0.77495366	-0.42292333	-7.779125	3.3578956	8.036542	-9.498416	4.672882	1.5435447	4.2575846	-0.8796234	5.334065	1.9756424	-6.4930625	6.0710697	-0.40052855	8.264215	-1.5962427	3.6588337	2.136105	2.2890425	-3.3692653	0.3350288	5.635656	-7.194054	3.3924656	1.0716815	-2.0979028	0.07062274	1.4430377	-3.662655	2.6591048	-3.8298	3.0940955	-4.343176	3.7290926	1.7372813	1.5445381	8.415056	0.36228907	1.483692	-8.748155	-6.614234	3.6997309	4.534173
GTEX-11I78	-1.2554821	-10.139508	10.911049	4.329551	3.6926367	1.2770549	-3.7041419	-4.9454026	1.7620895	-8.906235	7.300432	-0.2767331	6.2231607	4.8111463	8.744951	11.297838	2.488201	-7.9508	-4.0998125	7.4098573	-6.149267	0.12733735	-2.1366386	3.3798127	-6.9729342	3.7712162	-1.0427947	-11.301085	1.8210069	-5.3492465	4.018665	-2.27829	6.0128284	6.0280633	1.8172635	1.6540787	1.8989322	-3.3440635	1.8792455	4.8477592	6.403501	-7.3395114	3.8481133	7.3078375	1.3128289	-2.6616714	3.8709173	12.284505	-1.5643203	5.7261333	6.676144	-7.2660413	-1.6726065	0.6986899	1.2264371	-5.8938575	-0.63641787	1.9733696	4.173637	6.5707464
GTEX-11LCK	-1.4153516	0.5180619	8.460179	3.1661687	0.14507863	7.746014	-0.5591271	4.519952	-1.3941568	3.0961711	1.9153993	-1.9627804	0.24961922	-1.8313807	3.3544154	3.792018	2.962641	2.9639637	2.6348903	3.6359046	0.68958473	-0.06526934	-2.5135062	4.232232	-3.5486565	4.003862	-6.90808	-1.8793567	5.2675834	-6.786869	2.7797556	-1.0353454	-4.253464	-1.9392103	-1.7140286	0.9274715	1.2590545	-3.342322	0.6887915	-0.4521301	2.8318064	1.9039328	-5.085676	1.5823734	2.2546303	-1.5643426	-10.655638	2.9350376	-0.86050445	-2.8988984	2.1322677	-5.2560945	0.4819561	-8.462761	4.4337106	-5.0002985	2.0762708	2.5502915	3.6958349	-3.0849373
GTEX-11NSD	3.7230487	-6.4037127	2.6589215	-9.942048	-0.2223849	-1.2278687	1.3404719	2.9520414	6.4768915	0.097078435	5.7771664	-7.653566	1.2596127	0.9986872	8.226607	10.44089	-5.268784	-7.5744467	-2.73684	-0.19684099	1.9327427	4.7711196	-0.9457277	-0.08119248	-6.8699303	2.652858	-3.0413697	-7.3523936	-0.86052084	-3.0466373	0.3605201	-2.182695	-6.9043293	-11.296718	7.0747304	1.1584475	-8.968767	-2.9228506	4.0025115	1.0641837	5.557393	-2.6451468	6.889653	-1.9308735	-0.75917256	-1.0827987	4.968647	3.2503614	4.2775736	0.3589437	-0.82056314	-4.0538306	-5.874979	-13.893893	-9.891575	-3.5169234	-2.4937663	-3.572027	-6.469364	-2.4732482
GTEX-11NUK	-2.2775815	3.2528374	-0.7516417	-2.872311	0.253313	-2.5757778	0.4754036	6.564323	-5.000418	-5.974386	-1.0907832	0.22718127	-3.6673768	-12.843444	-4.704767	-1.6310813	0.71993	3.6665666	0.34841883	-5.470658	-0.61734575	-9.336168	3.4015548	-4.71051	2.4975255	0.7718409	0.5360601	-3.3029006	-0.24635486	0.49400505	2.6181521	1.5283135	-3.19297	-8.070303	1.591579	4.0333977	-9.712476	4.2410107	1.1044357	-8.726243	-4.857793	1.2382764	1.0442611	-6.670739	0.8731932	-3.4291565	12.202699	-4.568994	10.680525	0.30274504	0.4143019	6.928711	-8.566344	3.7912269	-10.37603	1.8750676	-2.6414914	-4.8857765	3.3829772	1.1749252
GTEX-11NV4	-2.7750418	-3.9275267	1.1565124	3.7724876	-2.8674376	-6.375619	4.1892633	12.8519945	-5.7374387	-3.614641	-5.3965325	0.78862536	-6.1345625	-14.442117	-10.032105	3.9587169	-3.0922844	0.8690475	-2.077567	-5.051655	-0.8490489	-6.5669994	-2.762542	1.5227201	2.3392465	-0.8407211	-2.6085951	-5.65995	-0.5450082	4.465074	-0.4356213	2.2419412	1.2006538	-2.0935967	4.7753124	5.322659	-9.001968	0.581322	9.427565	-8.631695	1.9977454	13.014871	0.015445245	-8.14047	1.9570695	-0.025802076	7.9769897	-4.538801	7.725364	-0.63921595	2.0790346	-2.9452085	1.4977976	-0.5147972	-3.7237864	4.856236	-3.103425	-4.5478797	0.29112583	3.8991833
GTEX-11O72	-3.9750302	3.7013013	-3.2139752	1.5222673	1.7694514	-6.43886	11.980143	1.3386966	2.3206155	-2.567865	1.622972	7.589129	4.414352	5.595125	-8.7054	-4.4534593	-2.4523654	2.3535073	-0.06400627	3.5350776	3.2572997	-0.16710475	-0.10847329	0.08136636	9.609854	-2.6204822	12.438283	4.2287154	-4.2927933	-1.2737557	5.4372897	8.817271	-6.1370425	-5.783807	-0.57701343	-2.386759	-3.0266154	1.1195703	6.811653	3.6531868	-5.0545726	-14.53232	-6.694987	5.516472	-6.9719834	-0.78575313	-9.810919	9.726415	6.674626	-5.4156833	-0.8384972	-1.3908695	-11.982621	3.3497105	4.3053293	-3.404159	-10.763291	-0.2945801	-7.1372333	-2.0360522
GTEX-11OF3	-0.78954715	-9.6152725	1.7189742	0.9105076	-0.42473206	0.16489615	2.4045513	1.0144976	-4.865264	-1.8652974	-5.690731	-5.0609903	-2.218444	-17.411133	-13.010272	-1.306895	-5.208968	0.31840858	-0.80256826	-9.309918	-5.2648625	-7.1896353	3.4412456	-3.45859	2.4264698	2.0830557	0.106728524	-0.70307463	7.658317	5.1976376	4.5735307	1.8243686	-1.1668879	2.159189	1.6357827	-0.22965726	-1.1236902	-0.5995347	7.050243	-9.043764	1.3175467	7.1944094	-4.5367665	-3.323704	8.833805	3.7708316	7.758321	-6.489863	9.2813425	8.065539	6.101785	-0.95823914	-4.0850134	-1.4692739	-1.1285071	2.274559	-6.8075404	-3.4182837	7.278631	-0.93665254
GTEX-11ONC	-1.1461326	-4.631487	-9.365887	4.37504	3.0886855	-0.42520517	9.163978	6.373825	-3.2678924	1.6004139	-4.6856866	0.90685636	-5.0945787	1.4324522	-2.6278503	-5.511586	-8.410539	-3.0848742	-9.648166	6.5189667	3.8439617	-7.144316	-0.30667862	4.502141	-1.3635635	-3.527989	1.7328924	3.833414	0.10874679	4.0271683	-0.26307982	4.402222	-4.055698	-9.758122	1.6819872	3.2505507	-7.1873164	-0.6867411	6.4241104	0.9125956	-7.797385	-0.6232387	0.28307623	-0.2526579	3.8361497	-0.043327026	-2.7156894	-7.4703293	2.3459604	-2.1723578	0.3850525	0.21686979	1.6037453	4.818003	0.4150016	5.9564743	-2.6167622	1.0558075	-3.5267868	4.568554
GTEX-11P7K	0.508632	3.5518327	8.078318	1.494438	-2.4891825	-3.1999736	-8.02541	-3.8333235	10.198223	-1.4595134	2.811551	-10.533231	7.0478897	3.7352493	-0.26747155	2.155882	-0.00077681936	0.60444	5.3237042	-5.765113	-3.3457522	11.986775	-3.3137112	4.209098	-4.1022773	-0.97172946	-4.32289	-1.0081874	5.0992174	0.978856	0.37768668	-7.388123	-2.8789814	-2.6372504	0.06530118	-2.810468	7.35098	-8.354172	-1.0845249	1.1773349	-8.724004	-5.6900263	6.4710665	-0.042809986	5.549445	-5.61128	7.4677258	7.4668765	-4.1117525	6.924391	-3.6484332	-2.2190633	0.17477648	-4.085114	0.6285919	6.1941133	2.1216235	3.1325257	-2.5069244	-2.037708
GTEX-11P81	-0.4861749	1.2204938	2.2431562	2.6426888	-0.5963069	6.406726	-4.3711686	2.4805913	5.3463135	4.892421	-1.0126609	-6.309669	1.8948834	-1.6389546	0.88467914	-3.853999	-4.155984	2.895222	1.5731505	-4.873443	-2.668725	5.2902927	-0.30652332	-4.505453	-0.091018885	-1.4905622	4.326131	0.9699831	-1.8287213	3.5077107	1.567636	-7.125852	-3.950419	-10.205869	6.748483	-2.239535	-2.053377	-1.6823258	6.482482	3.3267949	3.074938	-5.8061147	-5.0162606	-2.3961015	0.76792806	-1.110689	8.565973	2.1259148	4.120028	3.6255715	1.191604	-1.9667863	-1.5618094	-3.6723113	-4.795638	3.8856068	0.49268964	-1.1418663	-1.9223621	-2.642047
GTEX-11P82	-0.62896085	9.45665	5.102675	-10.060806	2.3509796	0.09167097	0.021028226	-4.600959	3.4538987	-2.6833017	1.877915	-12.365463	8.121687	-1.7725072	-2.5720649	8.375903	-3.8907206	-4.105772	0.25476235	-11.966141	-5.7552032	17.099728	2.1290798	3.5017712	0.31413805	0.9788672	-12.56011	2.9459157	2.554789	-7.181896	10.087641	-9.129057	-4.310608	-4.8987246	1.5388654	-5.3993707	3.4503849	2.6672153	-0.21488722	6.022721	-0.57512903	-12.663375	8.795492	-2.779814	3.5749583	1.8131194	1.6206067	4.670541	3.788684	4.645509	-7.3356857	-3.268614	-4.162907	-10.7463875	-3.944776	0.55959934	3.0754611	1.1421958	-6.2668915	-4.515926
GTEX-11PRG	-0.0023383088	-3.1826468	-11.910644	10.6934	2.5044534	0.6131855	0.76415724	11.509303	-9.120686	1.0630141	-1.0307183	1.4125814	-9.5689	-6.4275985	-6.803701	-11.663036	0.8109706	5.802674	2.4859836	1.9752952	7.848129	-10.766196	-1.6295074	-2.7233465	2.846571	-4.9950795	-0.7775778	2.082029	-2.9404633	1.1112376	-4.784428	-0.7526539	-0.3484058	-6.210916	2.40082	2.6700735	-4.550548	0.43867993	7.730964	-11.330174	-2.999221	6.556492	-2.455331	-7.839214	0.35057646	-4.600937	5.9395094	-4.1391325	4.323708	-2.5852783	5.9194837	-0.54492044	1.732546	2.1925523	2.4343503	-1.570949	-1.9537266	-9.557651	3.21057	-2.550463
GTEX-11TT1	10.090846	-13.012095	10.37357	6.440939	-2.5945156	-5.396519	-8.72774	-0.3603827	1.2585984	-7.0022287	-3.0500062	7.1309404	-5.914713	9.816127	-4.8868055	10.779689	10.385723	-8.0471525	4.700258	14.837096	4.265918	12.205728	2.8806474	7.619502	-14.330554	9.934843	-8.615779	-5.467613	1.2556127	11.939917	8.504156	12.013897	-3.9444385	19.99286	-13.4521265	-10.797056	10.995712	-5.0656366	-8.756397	-0.021797094	3.4594572	-11.728135	2.16095	-5.7565966	2.5207133	1.1313316	4.5773654	16.258015	-11.673503	-1.9343358	6.767252	2.1346612	-8.59739	-14.300868	-2.115346	-12.131459	4.204353	7.4616146	3.381663	3.996794
